,id,name,result_info,match_results,home_team,away_team,home_team_lineup,away_team_lineup
12,233421,Sassuolo vs Cagliari,Sassuolo won after full-time.,5-2,"[2714, 'Sassuolo']","[585, 'Cagliari']","[[129561, 'Alberto Pomini'], [129564, 'Francesco Magnanelli'], [129563, 'Luca Antei'], [129946, 'Lorenzo Pellegrini'], [127779, 'Simone Missiroli'], [127917, 'Davide Biondini'], [130166, 'Pietro Iemmello'], [127883, 'Alessandro Matri'], [129775, 'Grégoire Defrel'], [130057, 'Stefano Sensi'], [128435, 'Federico Peluso'], [128873, 'Francesco Acerbi'], [129926, 'Matteo Politano'], [130063, 'Pol Lirola'], [727, 'Alberto Aquilani'], [130046, 'Luca Mazzitelli'], [127855, 'Marcello Gazzola'], [129553, 'Domenico Berardi'], [128101, 'Paolo Cannavaro'], [128446, 'Andrea Consigli'], [24244, 'Timo Letschert\xa0'], [128795, 'Gianluca Pegolo'], [129171, 'Antonino Ragusa']]","[[129442, 'Rafael'], [130031, 'Mikael Stahre'], [4097, 'Mauricio Isla'], [128297, 'Davide Di Gennaro'], [129664, 'João Pedro'], [130106, 'Senna Miangue\xa0'], [133827, 'Vasco da Cunha'], [131707, 'Paolo Faragò'], [129573, 'Diego Farias'], [130041, 'Fabio Pisacane'], [127790, 'Simone Padoin'], [129431, 'Artur Ionita\xa0'], [4457, 'Marco Borriello'], [129273, 'Marco Sau'], [130236, 'Luca Crosta'], [128817, 'Nicola Murru'], [130042, 'Alessandro Deiola'], [134182, 'Han Kwang-Song'], [133829, 'Roberto Biancu'], [129551, 'Bartosz Salamon'], [133321, 'Mirko Bizzi'], [107191, 'Panagiotis Tachtsidis']]"
13,233422,Juventus vs Crotone,Juventus won after full-time.,3-0,"[89, 'Crotone']","[625, 'Juventus']","[[129499, 'Alex Cordaz'], [129969, 'Claiton'], [129988, 'Marco Festa'], [129951, 'Marcus Rohdén'], [129571, 'Lorenzo Crisetig'], [130203, 'Andrea Nalini'], [129927, 'Diego Falcinelli'], [129971, 'Gian Marco Ferrari'], [128970, 'Djamel Mesbah'], [129970, 'Federico Ceccherini'], [129990, 'Andrea Barberis'], [133962, 'Andrej Kotnik'], [127588, 'Aleandro Rosi'], [61365, 'Noë Dussenne'], [960, 'Aleksandăr Tonev'], [129772, 'Maxwell Acosty'], [129069, 'Leonardo Capezzi'], [3442, 'Marcello Trotta'], [128890, 'Mario Sampirisi'], [129991, 'Aniello Viscovo'], [96875, 'Ćazim\xa0Suljić'], [129956, 'Bruno Martella'], [129974, 'Simy']]","[[127688, 'Gianluigi Buffon'], [127693, 'Giorgio Chiellini'], [32239, 'Medhi Benatia'], [94511, 'Miralem Pjanic'], [29757, 'Sami Khedira'], [4233, 'Juan Cuadrado'], [128005, 'Claudio Marchisio'], [129501, 'Gonzalo Higuaín'], [129725, 'Alex Sandro'], [129410, 'Federico Mattiello'], [30385, 'Andrea Barzagli'], [30965, 'Mario Mandžukić'], [96017, 'Mario Lemina'], [128381, 'Leonardo Bonucci'], [129261, 'Paulo Dybala'], [128557, 'Kwadwo Asamoah'], [129841, 'Dani Alves'], [128798, 'Neto'], [94469, 'Stephan Lichtsteiner'], [129003, 'Stefano Sturaro'], [30955, 'Tomás Rincón'], [129855, 'Emil Audero'], [133769, 'Moise Kean']]"
14,233423,Napoli vs Fiorentina,Napoli won after full-time.,4-1,"[597, 'Napoli']","[109, 'Fiorentina']","[[129508, 'Rafael'], [129603, 'Elseid Hysaj'], [72811, 'Ivan Strinić'], [1090, 'Emanuele Giaccherini'], [129500, 'José Callejón'], [129511, 'Jorginho'], [128112, 'Christian Maggio'], [22994, 'Dries Mertens'], [127907, 'Marek Hamsik'], [134239, 'Leandrinho'], [129072, 'Piotr Zielinski'], [4128, 'Vlad Chiriches'], [129021, 'Luigi Sepe'], [128975, 'Lorenzo Insigne'], [38, 'Pepe Reina'], [61806, 'Kalidou Koulibaly'], [73858, 'Marko Rog'], [95434, 'Faouzi Ghoulam'], [129576, 'Leonardo Pavoletti'], [129502, 'Raúl Albiol'], [129696, 'Amadou Diawara'], [129621, 'Lorenzo Tonelli\xa0'], [25355, 'Arkadiusz Milik']]","[[129059, 'Gonzalo Rodríguez'], [62977, 'Sebastien De Maio'], [31670, 'Milan Badelj'], [129605, 'Matías Vecino'], [404, 'Nikola Kalinic'], [129429, 'Federico Bernardeschi'], [129424, 'Ciprian Tătărușanu'], [130213, 'Maximiliano Olivera\xa0'], [129837, 'Tello'], [130137, 'Carlos Salcedo'], [130218, 'Sebastián Cristóforo'], [129463, 'Riccardo Saponara'], [129857, 'Ianis Hagi\xa0'], [129836, 'Federico Chiesa\xa0'], [130219, 'Fabio Maistro'], [128727, 'Khouma Babacar'], [73230, 'Hrvoje Milić'], [133994, 'Jan Mlakar'], [608238, 'Tomás Reymão'], [128508, 'Nenad Tomović'], [129436, 'Marco Sportiello'], [128899, 'Josip Iličić'], [129859, 'Bartlomiej Dragowski']]"
15,233425,Lazio vs Inter,Inter won after full-time.,1-1,"[43, 'Lazio']","[2930, 'Inter']","[[25088, 'Wesley Hoedt'], [24015, 'Stefan de Vrij'], [129706, 'Patric'], [128695, 'Dušan Basta'], [129454, 'Felipe Anderson'], [131884, 'L. Crecco'], [96406, 'Wallace'], [129453, 'Keita Baldé'], [130098, 'Bastos'], [32159, 'Ciro Immobile'], [827, 'Luis Alberto'], [128868, 'Senad Lulić'], [60342, 'Lucas Biglia\xa0'], [62511, 'Sergej Milinković-Savić'], [129905, 'C. Lombardi'], [134126, 'Marius Adamonis'], [134238, 'C. Cardoselli'], [133749, 'Luca Borrelli'], [689031, 'Denis Petro'], [73515, 'Ivan Vargić'], [129707, 'Mamadou Tounkara'], [129949, 'Alessandro Murgia'], [133887, 'A. Rossi']]","[[127929, 'Samir Handanovic\xa0'], [128403, 'Marco Andreolli'], [129396, 'Roberto Gagliardini'], [130198, 'João Mário'], [128404, 'Rodrigo Palacio'], [128472, 'J. Biabiany'], [1234, 'G. Medel'], [129993, 'É. Banega'], [25167, 'T. Sainsbury'], [1288, 'Davide Santon'], [128834, 'Éder\xa0'], [129818, 'Jeison Murillo'], [128317, 'Juan Pablo Carrizo'], [129208, ""Danilo D'Ambrosio""], [608311, 'Zinho Vanheusden\xa0'], [31002, 'Ivan Perisic'], [128854, 'Yuto Nagatomo'], [73004, 'Marcelo Brozovic\xa0'], [128451, 'Antonio Candreva'], [130008, 'E. Yao'], [130266, 'Gabriel Barbosa'], [130199, 'Ionut Radu\xa0'], [134034, 'Andrea Pinamonti']]"
16,233427,Pescara vs Palermo,Pescara won after full-time.,2-0,"[1343, 'Pescara']","[1216, 'Palermo']","[[129016, 'Vincenzo Fiorillo'], [129400, 'Cristiano Biraghi'], [129206, 'Valerio Verre'], [130067, 'Ledian Memushaj'], [130066, 'Francesco Zampano'], [369, 'Sulley Muntari'], [127770, 'Hugo Campagnaro'], [95383, 'Jean-Christophe Bahebeck'], [129167, 'Gastón Brugman'], [129150, 'Gianluca Caprari'], [127771, 'Alberto Gilardino'], [132004, 'Alberto Cerri'], [130083, 'Alexandru Mitrita'], [26918, 'Robert Muric'], [127852, 'Albano Bizzarri'], [134185, 'Mamadou Coulibaly'], [127930, 'Andrea Coda'], [133990, 'Andrés Cubas'], [129995, 'Michele Fornasier'], [128128, 'Cesare Bovo'], [66718, 'Hrvoje Milicevic']]","[[73926, 'Josip Posavec'], [129497, 'Andrea Rispoli'], [129539, 'Siniša Anđelković'], [129860, 'Edoardo Goldaniga'], [61320, 'Aleksandar Trajkovski'], [134009, 'Stefan Silva'], [129854, 'Giancarlo González'], [130049, 'Thiago Cionek'], [70422, 'Ivaylo Chochev'], [130050, 'Haitam Aleesami'], [114021, 'Roland Sallai'], [114026, 'Norbert Balogh'], [346, 'Peter Butler'], [130174, 'Bruno Henrique'], [31074, 'Mato Jajalo'], [73913, 'Ilija Nestorovski'], [32680, 'Toni Sunjic'], [130060, 'Leonardo Marson'], [134159, 'Gennaro Ruggiero'], [129545, 'Andrea Fulignati'], [130113, 'Simone Giuliano'], [128897, 'Michel Morganella'], [130062, 'Simone Lo Faso']]"
17,233430,Chievo vs Roma,Roma won after full-time.,3-5,"[97, 'Chievo']","[37, 'Roma']","[[986, 'Jonathan de Guzmán\xa0'], [128542, 'Nicolás Spolli'], [128009, 'Alessandro Gamberini'], [61536, 'S. Gakpé'], [128599, 'Ivan Radovanovic'], [4736, 'Boštjan Cesar'], [127841, 'M. Izco'], [128199, 'Massimo Gobbi'], [129187, 'Lucas Castro'], [128383, 'Gennaro Sardo'], [128431, 'Nicolas Frey'], [93995, 'Valter Birsa'], [62821, 'Samuel Bastien'], [128755, 'Fabrizio Cacciatore'], [127497, 'Sergio Pellissier'], [129493, 'Walter Bressan'], [129756, 'Roberto Inglese'], [133978, 'E. Vignato'], [128428, 'Stefano Sorrentino'], [133696, 'M. Troiani'], [133952, 'S. Kiyine'], [129408, 'Andrea Seculin'], [130006, 'Fabio Depaoli']]","[[805, 'Wojciech Szczesny'], [31837, 'Antonio Rüdiger'], [129175, 'Juan Jesus'], [128545, 'Radja Nainggolan\xa0'], [129419, 'Leandro Paredes'], [23596, 'Kevin Strootman'], [95131, 'Clément Grenier'], [129503, 'Diego Perotti'], [1358, 'Edin Dzeko'], [127698, 'Francesco Totti'], [4125, 'Mohamed Salah'], [129663, 'Bruno Peres\xa0'], [558, 'Thomas Vermaelen'], [127483, 'Daniele De Rossi'], [128991, 'Bogdan Lobonț'], [129820, 'Alisson'], [4154, 'Federico Fazio'], [129604, 'Mário Rui'], [129822, 'Gerson'], [129794, 'Emerson'], [107444, 'K. Manolas'], [96514, 'Federico Insúa']]"
18,233432,Udinese vs Sampdoria,Game ended in draw.,1-0,"[346, 'Udinese']","[522, 'Sampdoria']","[[107696, 'Orestis Karnezis'], [1301, 'Gabriele Angella'], [128827, 'Danilo'], [128574, 'Emmanuel Badu'], [129523, 'Duván Zapata'], [129798, 'Rodrigo de Paul'], [129824, 'Jakub Jankto\xa0'], [129825, 'Ryder Matos'], [129635, 'Simone Scuffet'], [5150, 'Emil Hallfreðsson'], [24382, 'Sven Kums'], [127531, 'Felipe'], [129071, 'Gabriel Silva'], [129716, 'Ali Adnan'], [504014, 'Alberto Parpinel'], [60371, 'Cyril Théréau'], [109127, 'Lucas Evangelista'], [129826, 'Ewandro Costa\xa0'], [73921, 'Andrija Balic']]","[[128649, 'Christian Puggioni'], [74099, 'Lorenco Simic'], [129450, 'Dodô'], [24056, 'Édgar Barreto'], [128853, 'Luis Muriel'], [129602, 'Bruno Fernandes'], [4148, 'Ricardo Álvarez'], [130143, 'Titas Krapikas'], [80675, 'Patrik Schick'], [130011, 'Karol Linetty'], [61654, 'Dennis Praet'], [33349, 'Daniel Pavlović'], [127849, 'Luca Cigarini'], [3935, 'Jacopo Sala'], [4491, 'Filip Djuricic'], [133972, 'Bartosz Bereszynski'], [128292, 'Matías Silvestre'], [127715, 'Fabio Quagliarella'], [134076, 'Andrea Tessiore'], [608288, 'Pietro Cavagnaro'], [130022, 'Lucas Torreira'], [130142, 'Milan Skriniar\xa0'], [34700, 'Ante Budimir']]"
19,233434,Genoa vs Torino,Genoa won after full-time.,2-1,"[102, 'Genoa']","[613, 'Torino']","[[95462, 'Santiago Gentiletti'], [128597, 'Isaac Cofie'], [127928, 'Nicolás Burdisso'], [130032, 'Giovanni Simeone'], [129858, 'Olivier Ntcham'], [128295, 'Raffaele Palladino'], [130216, 'Davide Biraschi'], [25008, 'Oscar Hiljemark'], [131969, 'Andrea Beghetto'], [129850, 'Darko Lazović'], [129513, 'Eugenio Lamanna'], [128909, 'Ezequiel Muñoz\xa0'], [127605, 'Goran Pandev'], [128420, 'Luca Rigoni'], [131863, 'Leonardo Morosini'], [130036, 'Lukas Zima'], [128882, 'Miguel Veloso'], [75382, 'Mauricio Pinilla'], [133957, 'Pietro Pellegri'], [127949, 'Rubinho'], [129640, 'Diego Laxalt'], [129476, 'Danilo Cataldi'], [130210, 'Nikola Ninković']]","[[128560, 'Daniele Padelli'], [30992, 'Cristian Molinaro'], [129196, 'Leandro Castán'], [77810, 'Carlão'], [32229, 'Afriyie Acquah'], [129665, 'Daniele Baselli'], [129528, 'Andrea Belotti'], [128482, 'Hamdi Salihi'], [128532, 'Maxi López'], [128214, 'Luca Rossettini'], [4169, 'Iago Falque'], [130274, 'Samuel Gustafson'], [129626, 'Mirko Valdifiori'], [4529, 'Juan Iturbe'], [275, 'Joe Hart'], [128857, 'Joel Obi'], [129900, 'Antonio Barreca'], [128402, 'Emiliano Moretti'], [130248, 'Saša Lukić\xa0'], [32236, 'Danilo Avelar'], [127629, 'Lorenzo De Silvestri'], [129862, 'Lucas Boyé'], [130246, 'Tommaso Cucchietti']]"
20,233438,Atalanta vs Chievo,Atalanta won after full-time.,1-0,"[708, 'Atalanta']","[97, 'Chievo']","[[129921, 'Rafael Tolói'], [129467, 'Bryan Cristante'], [128366, 'Andrea Masiello'], [61552, 'Ervin Zukanovic'], [129446, ""Marco D'Alessandro""], [127815, 'Giulio Migliaccio'], [96308, 'Aleksandar Pesic'], [128943, 'Papu Gómez\xa0'], [130145, 'Remo Freuler'], [129936, 'Mattia Caldara'], [129906, 'F. Kessie'], [129846, 'Andrea Conti\xa0'], [129263, 'Jasmin Kurtic'], [129910, 'Andrea Petagna'], [134036, 'Francesco Rossi'], [25087, 'Hans Hateboer'], [129433, 'Leonardo Spinazzola'], [4565, 'A. Paloschi'], [128452, 'Cristian Raimondi'], [94861, 'A. Mounier'], [129447, 'Alberto Grassi'], [6588, 'Pierluigi Gollini'], [133797, 'Alessandro Bastoni']]","[[986, 'Jonathan de Guzmán\xa0'], [128542, 'Nicolás Spolli'], [61536, 'S. Gakpé'], [518753, 'Andre Isufaj'], [4736, 'Boštjan Cesar'], [127841, 'M. Izco'], [134152, 'C. Pogliano'], [128199, 'Massimo Gobbi'], [128383, 'Gennaro Sardo'], [128431, 'Nicolas Frey'], [93995, 'Valter Birsa'], [62821, 'Samuel Bastien'], [128755, 'Fabrizio Cacciatore'], [127497, 'Sergio Pellissier'], [129493, 'Walter Bressan'], [129756, 'Roberto Inglese'], [133978, 'E. Vignato'], [128428, 'Stefano Sorrentino'], [133696, 'M. Troiani'], [208847, 'M. Rabbas'], [133952, 'S. Kiyine'], [129408, 'Andrea Seculin'], [130006, 'Fabio Depaoli']]"
21,233440,Palermo vs Empoli,Palermo won after full-time.,2-1,"[1216, 'Palermo']","[397, 'Empoli']","[[73926, 'Josip Posavec'], [129497, 'Andrea Rispoli'], [129860, 'Edoardo Goldaniga'], [61320, 'Aleksandar Trajkovski'], [134009, 'Stefan Silva'], [129854, 'Giancarlo González'], [130049, 'Thiago Cionek'], [70422, 'Ivaylo Chochev'], [130050, 'Haitam Aleesami'], [114021, 'Roland Sallai'], [114026, 'Norbert Balogh'], [346, 'Peter Butler'], [130174, 'Bruno Henrique'], [31074, 'Mato Jajalo'], [73913, 'Ilija Nestorovski'], [32680, 'Toni Sunjic'], [130060, 'Leonardo Marson'], [134159, 'Gennaro Ruggiero'], [129545, 'Andrea Fulignati'], [130113, 'Simone Giuliano'], [128897, 'Michel Morganella'], [130062, 'Simone Lo Faso']]","[[129744, 'Maurizio Pugliesi'], [129618, 'Vincent Laurini'], [129737, 'Marco Zambelli'], [129842, 'Federico Dimarco'], [129495, 'José Mauri'], [3299, 'Giuseppe Bellusci'], [3843, 'Massimo Maccarone'], [129735, 'Assane Dioussé'], [128575, 'Levan Mchedlidze'], [129601, 'Daniele Croce'], [133869, 'Gabriel Meli'], [5705, 'Frédéric Veseli'], [128268, 'Andrea Costa'], [134041, 'Miha Zajc'], [34006, 'Federico Barba'], [129607, 'Manuel Pucciarelli'], [128012, 'Manuel Pasqual'], [129746, 'Alberto Pelagotti'], [129170, 'Uroš Ćosić'], [62963, 'Mame Thiam'], [129749, 'Rade Krunic'], [130012, 'Andrés Tello'], [128831, 'Guido Marilungo']]"
22,233441,Roma vs Genoa,Roma won after full-time.,1-1,"[102, 'Genoa']","[37, 'Roma']","[[95462, 'Santiago Gentiletti'], [128597, 'Isaac Cofie'], [127928, 'Nicolás Burdisso'], [129858, 'Olivier Ntcham'], [128295, 'Raffaele Palladino'], [130216, 'Davide Biraschi'], [25008, 'Oscar Hiljemark'], [131969, 'Andrea Beghetto'], [129850, 'Darko Lazović'], [129513, 'Eugenio Lamanna'], [128909, 'Ezequiel Muñoz'], [131863, 'L. Morosini'], [130036, 'Lukas Zima'], [128882, 'Miguel Veloso'], [133957, 'Pietro Pellegri\xa0'], [127949, 'Rubinho'], [129640, 'Diego Laxalt'], [129476, 'Danilo Cataldi'], [130210, 'N. Ninković']]","[[805, 'Wojciech Szczesny'], [31837, 'Antonio Rüdiger'], [129175, 'Juan Jesus'], [128545, 'Radja Nainggolan\xa0'], [129419, 'Leandro Paredes'], [23596, 'Kevin Strootman'], [95131, 'Clément Grenier'], [129503, 'Diego Perotti'], [1358, 'Edin Dzeko'], [127698, 'Francesco Totti'], [4125, 'Mohamed Salah'], [129663, 'Bruno Peres\xa0'], [558, 'Thomas Vermaelen'], [127483, 'Daniele De Rossi'], [128991, 'Bogdan Lobonț'], [129820, 'Alisson'], [4154, 'Federico Fazio'], [129604, 'Mário Rui'], [129822, 'Gerson'], [129794, 'Emerson'], [107444, 'K. Manolas'], [96514, 'Federico Insúa']]"
23,233443,Bologna vs Juventus,Juventus won after full-time.,1-2,"[8513, 'Bologna']","[625, 'Juventus']","[[129548, 'Angelo Da Costa'], [107930, 'Marios Ikonomou'], [129966, 'Emil Krafth'], [129694, 'E. Pulgar'], [128846, 'Federico Viviani'], [1391, 'Saphir Taïder'], [129225, 'Simone Verdi'], [128790, 'Mattia Destro'], [79659, 'Ladislav Krejčí'], [129174, 'Ibrahima Mbaye'], [114226, 'Ádám Nagy'], [129584, 'Godfred Donsah\xa0'], [130152, 'Filip Helander'], [130120, 'Umar Sadiq'], [131838, 'Bruno Petkovic'], [129550, 'Luca Rizzo'], [129704, 'Adam Masina'], [128192, 'Daniele Gastaldello'], [133837, 'Orji Okwonkwo\xa0'], [106963, 'Vasilīs\xa0Torosidīs'], [466701, 'Trovade Giordano'], [127729, 'Antonio Mirante'], [129983, 'Mouhamadou Sarr']]","[[127688, 'Gianluigi Buffon'], [32239, 'Medhi Benatia'], [94511, 'Miralem Pjanic'], [29757, 'Sami Khedira'], [4233, 'Juan Cuadrado'], [128005, 'Claudio Marchisio'], [129501, 'Gonzalo Higuaín'], [129725, 'Alex Sandro'], [129410, 'Federico Mattiello'], [30385, 'Andrea Barzagli'], [30965, 'Mario Mandžukić'], [96017, 'Mario Lemina'], [128381, 'Leonardo Bonucci'], [129261, 'Paulo Dybala'], [128557, 'Kwadwo Asamoah'], [129624, 'Daniele Rugani'], [128798, 'Neto'], [94469, 'Stephan Lichtsteiner'], [129003, 'Stefano Sturaro'], [30955, 'Tomás Rincón'], [129855, 'Emil Audero'], [133769, 'Moise Kean']]"
24,233445,Crotone vs Lazio,Crotone won after full-time.,3-1,"[89, 'Crotone']","[43, 'Lazio']","[[129499, 'Alex Cordaz'], [129969, 'Claiton'], [129988, 'Marco Festa'], [129951, 'Marcus Rohdén'], [129571, 'Lorenzo Crisetig'], [130203, 'Andrea Nalini'], [129927, 'Diego Falcinelli'], [129971, 'Gian Marco Ferrari'], [128970, 'Djamel Mesbah'], [129970, 'Federico Ceccherini'], [129990, 'Andrea Barberis'], [133962, 'Andrej Kotnik'], [127588, 'Aleandro Rosi'], [61365, 'Noë Dussenne'], [960, 'Aleksandăr Tonev'], [129772, 'Maxwell Acosty'], [129069, 'Leonardo Capezzi'], [128890, 'Mario Sampirisi'], [129991, 'Aniello Viscovo'], [96875, 'Ćazim\xa0Suljić'], [129956, 'Bruno Martella'], [133839, 'Giuseppe Borello'], [129974, 'Simy']]","[[129394, 'Thomas Strakosha'], [24015, 'Stefan de Vrij'], [129706, 'Patric'], [128695, 'Dušan Basta'], [129454, 'Felipe Anderson'], [131884, 'Luca Crecco'], [96406, 'Wallace'], [130098, 'Bastos'], [32159, 'Ciro Immobile'], [60342, 'Lucas Biglia'], [62511, 'Sergej Milinković-Savić'], [129905, 'Cristiano Lombardi'], [128524, 'Hui Xie'], [134126, 'Marius Adamonis'], [134238, 'Cassio Cardoselli'], [368346, 'Giorgio Spizzichino'], [73515, 'Ivan Vargić'], [129707, 'Mamadou Tounkara'], [129949, 'Alessandro Murgia'], [133887, 'Alessandro Rossi'], [94012, 'Abukar Mohamed']]"
